title,company,location,summary,salary
Scientific Officer_SVHNS,St Vincent's Hospital Network,,"Hospital Scientist (Scientific Officer). Performs administrative duties including data entry, maintenance of inventory of processing supplies, documenting...","$62,714 - $90,843 a year"
Data Scientist,Greythorn Specialist Technology Recruitment,,Data & Analytics. Passionate about data and data-driven insights. Significant knowledge of data modelling and understanding of different data structures and...,
Software Developer,University of New South Wales,,This groundbreaking new interdisciplinary Centre applies integrated design thinking and interdisciplinary approaches to research to enable scientists to see...,"$85,000 - $91,000 a year"
Data Scientist,THE ICONIC,Sydney NSW,"We are looking for an experienced Data Scientist to work across several business areas including Recommendations, Customer Profiling, Forecasting and...",
Digital Data Quality Officer,Domain Group,Sydney NSW,"Have the opportunity to work with a highly talented, motivated and fun data engineering / data scientist team....",
Data CoE Expressions of Interest,Optus,Sydney NSW,"In this newly created team, our Data Centre of Excellence (COE) is searching for talented, creative people and people leaders with skills and proven experience...",
Environmental Scientist - Boutique Environmental Consultancy,Ascension Global,Sydney NSW,*About your new Company: * This national environmental consultancy continues to grow and win new major projects. As such they wish to build on their existing...,"$70,000 - $110,000 a year"
Research Scientist -- AI -- Medical Imaging,Sydney Neuroimaging Analysis Centre,Sydney NSW,Liaises with project Systems Engineer to implement and deliver the AI solutions to clinicians and clinical research scientists....,
Digital Data Quality Officer,Domain Group,Sydney NSW,"Have the opportunity to work with a highly talented, motivated and fun data engineering / data scientist team....",
Data Scientist - Customer Analytics in Financial Services!,Talent Insights Group,,"A data scientist with strong hands-on SQL experience and the ability to build and automate data pipelines/ETL into data marts, etc.)....",
Data Scientist,Bluefin Resources,,"Leverage new open data sources and extract further value from existing company data. Reporting to the Senior Analytics Manager, you will be an Analytics expert...",
"Consumer Research & Data Analyst, Sydney",Mintel,,Research and data consultancy:. Do you enjoy working with data? High attention to detail with a focus on ensuring quality data....,
GHD Digital - Asset Data Scientist – SYDNEY / MELB / BRIS /...,GHD,,"GHD Digital - Asset Data Scientist – SYDNEY / MELB / BRIS / PERTH / CANBERRA - SYD01603. Reporting to the Practice Director, Data & Analytics, the Data...",
Data Scientist,Ethos BeathChapman,,"In this technical role, you will be managing data from multiple sources, developing algorithms, modelling and visualising data....",
Data Engineer,THE ICONIC,,"We are looking for an experienced Data Scientist to work across several business areas including Recommendations, Customer Profiling, Forecasting and...",
Data Scientist - Higher Education,Hudson,,2 x Data Scientist Positions Open. My client is setting up the data science function inside the analytics team and requires 2 strong data scientists....,$110 - $120 a day
Data Engineer,Australian Broadcasting Corporation (ABC),,"Implement statistic models provided by data scientist in automatic process of data transformation that produces insights, predictions or applications feeds....","$120,000 a year"
Data Integration Developer (ETL) - $700 p/d,Total Resource Solutions,,Data Integration Developer (ETL) - $700 p/d. TRS are currently seeking a Data Scientist to join a NSW Government department on a contract basis in Sydney CBD....,$700 a week
Technical Officer - Data Management Support,AECOM,,A rewarding opportunity exists for an experienced Data Scientist as a self-starting Technical Officer - Data Management Support in our Geosciences and...,
Data CoE Expressions of Interest,Optus,Sydney NSW,"In this newly created team, our Data Centre of Excellence (COE) is searching for talented, creative people and people leaders with skills and proven experience...",
Environmental Scientist - Boutique Environmental Consultancy,Ascension Global,Sydney NSW,*About your new Company: * This national environmental consultancy continues to grow and win new major projects. As such they wish to build on their existing...,"$70,000 - $110,000 a year"
Research Scientist -- AI -- Medical Imaging,Sydney Neuroimaging Analysis Centre,Sydney NSW,Liaises with project Systems Engineer to implement and deliver the AI solutions to clinicians and clinical research scientists....,
Data Scientist,Cover Genius,Sydney NSW,We’re seeking a senior data scientist to support the product and marketing with insights gained from analysing company data....,
Data Scientist,THE ICONIC,Sydney NSW,"We are looking for an experienced Data Scientist to work across several business areas including Recommendations, Customer Profiling, Forecasting and...",
Data CoE Expressions of Interest,Optus,Sydney NSW,"In this newly created team, our Data Centre of Excellence (COE) is searching for talented, creative people and people leaders with skills and proven experience...",
Biostatistician,Clinical Genomics Inc.,,"Advice on, plan, support and conduct appropriate analysis of data from clinical research studies. You will be working across a team of senior research or...",
Data Scientist/Analyst – SAS,Adaps,,"As a Data Scientist you will design data stores, and build advanced data models to solve complex problems and generate sophisticated insights....",
Data Engineer,THE ICONIC,,"We are looking for an experienced Data Scientist to work across several business areas including Recommendations, Customer Profiling, Forecasting and...",
Data Engineer,Metigy,,"You’ve worked for over 5+ years as data engineer working in Data Warehousing, Business Intelligence and Big Data processing....",
Scientific Officer,St Vincent's Hospital Sydney,,JR106409_Hospital Scientist PD.pdf. Hospital Scientist (Scientific Officer). SVHNS - The NSW (Non-Declared) Affiliated Health Organisations’ Hospital Scientists...,"$62,714 - $90,843 a year"
Data Administrator / Data Engineer,Pinpoint Talent,,"Assisting the Data Scientist(s) and Business Analysts with the execution of data exploration, data modelling and data visualisation you'll have the opportunity...","$80,000 a year"
Data Engineer,VGW,,"As an engineer in the Data & Analytics team, you'll work closely with our analysts and data scientists to spec, build and operate our new cutting edge data...",
Data Scientist - Pricing,Morgan McKinley,,Providing data insights to support decision making. This organisation is looking for an experienced pricing data scientist to support its risk management...,
Research Analyst | Perpetual Private | Sydney,Perpetual,,Employer of Choice for Gender Equality Trusted and respected brand Key role supporting our Private Clients business This role contributes to Perpetual Private...,
Data Scientist,Hudson,,An excellent opportunity has aroused for Data Scientist. Extensive data mining. End to end data science function....,
Research Scientist -- AI -- Medical Imaging,Sydney Neuroimaging Analysis Centre,Sydney NSW,Liaises with project Systems Engineer to implement and deliver the AI solutions to clinicians and clinical research scientists....,
Environmental Scientist - Boutique Environmental Consultancy,Ascension Global,Sydney NSW,*About your new Company: * This national environmental consultancy continues to grow and win new major projects. As such they wish to build on their existing...,"$70,000 - $110,000 a year"
Data Scientist,Cover Genius,Sydney NSW,We’re seeking a senior data scientist to support the product and marketing with insights gained from analysing company data....,
Data Scientist,THE ICONIC,Sydney NSW,"We are looking for an experienced Data Scientist to work across several business areas including Recommendations, Customer Profiling, Forecasting and...",
Digital Data Quality Officer,Domain Group,Sydney NSW,"Have the opportunity to work with a highly talented, motivated and fun data engineering / data scientist team....",
Data Scientist,Cover Genius,Sydney NSW,We’re seeking a senior data scientist to support the product and marketing with insights gained from analysing company data....,
Data Scientist,THE ICONIC,Sydney NSW,"We are looking for an experienced Data Scientist to work across several business areas including Recommendations, Customer Profiling, Forecasting and...",
Data CoE Expressions of Interest,Optus,Sydney NSW,"In this newly created team, our Data Centre of Excellence (COE) is searching for talented, creative people and people leaders with skills and proven experience...",
Data Scientist,Finite IT,,"At least 2-3 years as Data Scientist. Looking to fix data quality problems and data governance. Our client, a large Sydney based telecommunications organisation...",
Big Data Engineer,Quantium,,Quantium Big Data Engineer. We’re looking for Big Data technologists:. A solid foundation in functional and object-oriented programming with data structures....,
Scientific Officer_SVHNS,St Vincent's Hospital Network,,"Hospital Scientist (Scientific Officer). Performs administrative duties including data entry, maintenance of inventory of processing supplies, documenting...","$62,714 - $90,843 a year"
Data Engineer,Deputy,,"As an experienced Data Engineer you will support our software developers, database architects, data analysts and data scientists on data initiatives and will...",
Data Science Lead,THE ICONIC,,"We are looking for an experienced Data Scientist to work across several business areas including Recommendations, Customer Profiling, Forecasting and...",
