title,company,location,summary,salary
Clinical Measurement Scientist - Respiratory/Sleep,Queensland Government,,An exciting opportunity exists for a Clinical Measurement Scientist - Respiratory / Sleep to join our Respiratory & Sleep Unit....,
Environmental Scientist - Contamination Assessment & Remedia...,AECOM,,"+ Involvement in all stages of contaminated land projects, including site history investigations, analysing data gaps, sampling & analysis planning, field...",
Senior Data Scientist,Talent International,,The Data Scientist will posses the following experience:. Strong data management. This is an exciting opportunity to join a leading organisation on a 6 month...,$900 - $960 a day
Data Scientist,HAYS,,Experienced Data Scientist required for an initial contract til end June 2019 (extension thereafter). This critical government department is seeking an...,
Data Specialist and Scientist,Deakin University,Melbourne VIC,This role requires an experienced Data Specialist with sound knowledge working on the statistical data and involve in maintaining high standard of data record...,
Data Scientist,THE ICONIC,Sydney NSW,"We are looking for an experienced Data Scientist to work across several business areas including Recommendations, Customer Profiling, Forecasting and...",
Senior Data Scientist - Belong,Telstra,Melbourne City Centre VIC,"Ability to coach and mentor other data scientists. As our Senior Data Scientist, you will be part of our centralised Data n Analytics (DnA) team, embedded deep...",
Data Scientist,Cover Genius,Sydney NSW,We’re seeking a senior data scientist to support the product and marketing with insights gained from analysing company data....,
Financial Crime Data Scientist,ANZ Banking Group,Melbourne VIC,Data test automation capabilities. The Financial Crime Data Scientist will be part of the squad delivering the Financial Crime Data Hub (FCDH) capabilities with...,
Financial Crime Data Scientist,ANZ Banking Group,Melbourne VIC,Data test automation capabilities. The Financial Crime Data Scientist will be part of the squad delivering the Financial Crime Data Hub (FCDH) capabilities with...,
Freelance Data Scientist,mOOvement,Brisbane QLD,"Empowering cattle producers with real-time data on their livestock, providing more valuable insights by integrating partner data, and becoming the essential...","$90,000 - $110,000 a year"
Data Engineer,Deakin University,Geelong VIC,"Your responsibilities include developing, implementing and supporting real-time data analytic capabilities, through sourcing new data onto the platform,...",
Data Specialist and Scientist,Deakin University,Melbourne VIC,This role requires an experienced Data Specialist with sound knowledge working on the statistical data and involve in maintaining high standard of data record...,
Data Scientist,THE ICONIC,Sydney NSW,"We are looking for an experienced Data Scientist to work across several business areas including Recommendations, Customer Profiling, Forecasting and...",
Senior Data Scientist - Belong,Telstra,Melbourne City Centre VIC,"Ability to coach and mentor other data scientists. As our Senior Data Scientist, you will be part of our centralised Data n Analytics (DnA) team, embedded deep...",
Data Engineer,Deakin University,,"Your responsibilities include developing, implementing and supporting real-time data analytic capabilities, through sourcing new data onto the platform,...",
Data Scientist,Dixon Appointments,,"To manipulate data and draw insights from large data sets. This position requires a marketing, data, statistical, analytical and programming expertise ensuring...",
Senior Hospital Scientist,NSW Health Pathology,,Customer focused approach displaying well-developed interpersonal skills and good oral and written communication skills including the ability to communicate...,"$97,719 - $129,279 a year"
Data Scientist,Exclaim IT Pty Ltd,,"They are currently investing in expanding their existing data analytics capability across the organisation. Tertiary qualifications in a relevant discipline,...",
Lead Data Scientist in Sydney,Metigy,,"What Data Scientist are you? Data Science in Sydney, Australia. Experience working with and creating data architectures....",
Hospital Scientist - Cytology,Health Staffing,,"Hospital Scientist - Cytology. Our network of pathologists are supported by scientists, technicians and support staff who quickly and accurately assess samples...",
Data Scientist,Paxus,,"Lead the back-end integration of data and systems, and contribute to the design, development and implementation of data models....",
Senior Consultant - Data Analyst / Engineer / Scientist,EY,,We are looking for Data Analysts / Data Engineers / Data Scientists with strong business acumen and documentation skills....,
Intermediate Data Scientist,Talentpool Recruitment,,2-3 years experience building and implementing data products which allow greater visibility on how data affects the overall business success....,
Pathology Collector,NSW Health Pathology,,"Excellent computer skills including high attention to detail and data accuracy. Scientists, technicians and support staff who quickly and accurately assess...",$26.39 - $27.46 an hour
Data Scientist,Cover Genius,Sydney NSW,We’re seeking a senior data scientist to support the product and marketing with insights gained from analysing company data....,
